Game,Platform,Region,Downloads,Revenue,Esports Participation,Avg. Weekly Hours
Minecraft,PC,Thailand,95224,311108,99,3.4
Valorant,PC,Thailand,152680,208061,78,3.6
CS,PC,Thailand,72439,228466,92,6.7
World of Warcraft,PC,Thailand,112146,293364,96,7.8
Dota 2,PC,Thailand,53337,285847,59,6.4
Cyberpunk 2077,PC,Thailand,75337,451208,72,8.2
FIFA 22,Console,Thailand,127342,186540,57,5.1
Assassin's Creed,Console,Thailand,174991,316468,99,8
Apex Legends,Console,Thailand,175513,283842,49,4.1
Rocket League,Console,Thailand,146124,496699,94,8.6
Overwatch,Console,Thailand,140656,216716,83,6.7
Hearthstone,Console,Thailand,163349,400803,33,5.4
Diablo Immortal,Console,Thailand,171152,209498,60,7.7
Rainbow Six Siege,Console,Thailand,61620,485382,74,3.9
PUBG Mobile,Mobile,Vietnam,197262,410375,54,6
Call of Duty: Mobile,Mobile,Vietnam,191623,276167,67,7.5
Clash of Clans,Mobile,Vietnam,99969,432806,62,8.8
Genshin Impact,Mobile,Vietnam,163407,157451,36,6
Mobile Legends,Mobile,Vietnam,187973,408902,84,8.9
Free Fire,Mobile,Vietnam,144745,341773,68,3.3
Pokemon GO,Mobile,Vietnam,155109,386656,30,3.9
Brawl Stars,Mobile,Vietnam,127060,418035,42,6.1
Fortnite,PC,Vietnam,127099,418974,72,5.6
League of Legends,PC,Vietnam,65697,202393,94,7.7
Minecraft,PC,Vietnam,120467,371270,30,3.8
Valorant,PC,Vietnam,182446,134500,54,6.4
CS,PC,Vietnam,112666,203999,37,8.6
World of Warcraft,PC,Vietnam,135052,179666,56,3.1
Dota 2,PC,Vietnam,93836,433542,36,4
Cyberpunk 2077,PC,Vietnam,100289,139192,45,3.7
FIFA 22,Console,Vietnam,136278,283757,66,4.8
Assassin's Creed,Console,Vietnam,54813,191904,58,5.5
Apex Legends,Console,Vietnam,104175,388438,58,5
Rocket League,Console,Vietnam,74434,366455,70,6.3
Overwatch,Console,Vietnam,136921,460944,77,8.6
Hearthstone,Console,Vietnam,178532,212228,32,8.7
Diablo Immortal,Console,Vietnam,50092,379903,38,6.7
Rainbow Six Siege,Console,Vietnam,156614,446329,41,4.9
